Function,Lambda_Size,Time,Warmth,Duration,Lambda_Duration,Function_Duration
crowbar_hello_world,128,2018-09-14 17:56:35 -0700,cold,0.254,0.2539999485015869,0.0
crowbar_hello_world,128,2018-09-14 17:56:56 -0700,warm,0.004,0.004000186920166016,0.0
python_hello_world,128,2018-09-14 18:41:56 -0700,cold,0.285,0.2839999198913574,0.0009999275207519531
python_hello_world,128,2018-09-14 18:42:17 -0700,warm,0.006,0.005000114440917969,0.0
rust-aws-lambda_hello_world,128,2018-09-14 19:27:17 -0700,cold,0.181,0.17799997329711914,0.002000093460083008
rust-aws-lambda_hello_world,128,2018-09-14 19:27:38 -0700,warm,0.025,0.021999835968017578,0.017999887466430664
go_hello_world,128,2018-09-14 20:12:39 -0700,cold,0.332,0.3320000171661377,0.017999887466430664
go_hello_world,128,2018-09-14 20:12:59 -0700,warm,0.005,0.005000114440917969,0.0009999275207519531
crowbar_hello_world,128,2018-09-15 06:05:00 -0700,cold,0.256,0.2560000419616699,0.0
crowbar_hello_world,128,2018-09-15 06:05:20 -0700,warm,0.103,0.004999876022338867,0.0
python_hello_world,128,2018-09-15 06:50:21 -0700,cold,0.224,0.2239999771118164,0.0
python_hello_world,128,2018-09-15 06:50:42 -0700,warm,0.018,0.017999887466430664,0.0
rust-aws-lambda_hello_world,128,2018-09-15 07:35:43 -0700,cold,0.275,0.27499985694885254,0.0
rust-aws-lambda_hello_world,128,2018-09-15 07:36:03 -0700,warm,0.104,0.007999897003173828,0.0
go_hello_world,128,2018-09-15 08:21:04 -0700,cold,0.373,0.372999906539917,0.0
go_hello_world,128,2018-09-15 08:21:25 -0700,warm,0.006,0.006000041961669922,0.0
crowbar_hello_world,128,2018-09-16 16:52:05 -0700,cold,0.231,0.23099994659423828,0.0
crowbar_hello_world,128,2018-09-16 16:52:26 -0700,warm,0.008,0.00800013542175293,0.0009999275207519531
python_hello_world,128,2018-09-16 17:37:27 -0700,cold,0.217,0.21700000762939453,0.0
python_hello_world,128,2018-09-16 17:37:47 -0700,warm,0.005,0.005000114440917969,0.0
rust-aws-lambda_hello_world,128,2018-09-16 18:22:48 -0700,cold,0.293,0.2929999828338623,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-16 18:23:09 -0700,warm,0.004,0.003999948501586914,0.0010001659393310547
go_hello_world,128,2018-09-16 19:08:11 -0700,cold,0.34,0.3399999141693115,0.0
go_hello_world,128,2018-09-16 19:08:32 -0700,warm,0.008,0.007999897003173828,0.0
crowbar_hello_world,128,2018-09-14 14:50:43 -0700,cold,0.248,0.24499988555908203,0.0
crowbar_hello_world,128,2018-09-14 14:51:03 -0700,warm,0.008,0.003999948501586914,0.0
python_hello_world,128,2018-09-14 15:36:04 -0700,cold,0.262,0.26199984550476074,0.0
python_hello_world,128,2018-09-14 15:36:25 -0700,warm,0.007,0.006999969482421875,0.0
rust-aws-lambda_hello_world,128,2018-09-14 16:21:25 -0700,cold,0.204,0.20399999618530273,0.0
rust-aws-lambda_hello_world,128,2018-09-14 16:21:46 -0700,warm,0.021,0.020999908447265625,0.01699995994567871
go_hello_world,128,2018-09-14 17:06:47 -0700,cold,0.328,0.3280000686645508,0.017000198364257812
go_hello_world,128,2018-09-14 17:07:07 -0700,warm,0.008,0.00800013542175293,0.0009999275207519531
crowbar_hello_world,128,2018-09-14 21:00:08 -0700,cold,0.281,0.27900004386901855,0.0
crowbar_hello_world,128,2018-09-14 21:00:29 -0700,warm,0.021,0.016000032424926758,0.010000228881835938
python_hello_world,128,2018-09-14 21:45:30 -0700,cold,0.245,0.24500012397766113,0.0
python_hello_world,128,2018-09-14 21:45:51 -0700,warm,0.007,0.003999948501586914,0.0
rust-aws-lambda_hello_world,128,2018-09-14 22:30:52 -0700,cold,0.33,0.3300001621246338,0.013000011444091797
rust-aws-lambda_hello_world,128,2018-09-14 22:31:13 -0700,warm,0.028,0.026000022888183594,0.019999980926513672
go_hello_world,128,2018-09-14 23:16:15 -0700,cold,0.739,0.7390000820159912,0.01699995994567871
go_hello_world,128,2018-09-14 23:16:35 -0700,warm,0.006,0.006000041961669922,0.0009999275207519531
